# MASTERLIJST 043 — Frankfurt
# Laatste update: 22/08/2026
# Criteria: ROE>7% | Debt<130 | Marge>4% | Vol 18%-65% | Omzet>€150,000
# Kolommen: ticker | opname | ROE | Debt | Marge | Vol | Omzet | status [| weken_buiten] [| verwijderd]
# --------------------------------------------------------------------------------
OPC.DE           | opname:2026-08-22 | ROE:10.6% | Debt:34.5 | Marge:30.3% | Vol:39.2% | Omzet:428,799 | actief
PFSE.DE          | opname:2026-08-16 | ROE:34.8% | Debt:20.7 | Marge:13.7% | Vol:49.1% | Omzet:2,713,159 | actief
PHI1.DE          | opname:2026-08-22 | ROE:10.2% | Debt:65.0 | Marge:6.3% | Vol:28.4% | Omzet:169,948 | actief
PRG.DE           | opname:2026-05-03 | ROE:30.3% | Debt:64.5 | Marge:18.4% | Vol:21.0% | Omzet:501,748 | actief
PTX.DE           | opname:2026-08-16 | ROE:38.1% | Debt:2.1 | Marge:49.0% | Vol:58.3% | Omzet:6,342,994 | actief
QCI.DE           | opname:2026-08-22 | ROE:33.8% | Debt:55.2 | Marge:21.0% | Vol:55.0% | Omzet:950,581 | actief
QIA.DE           | opname:2026-05-03 | ROE:11.9% | Debt:49.2 | Marge:19.5% | Vol:31.8% | Omzet:21,827,871 | actief
R3NK.DE          | opname:2026-08-22 | ROE:22.6% | Debt:112.6 | Marge:7.2% | Vol:52.1% | Omzet:38,656,138 | actief
R6C0.DE          | opname:2026-08-22 | ROE:14.3% | Debt:40.2 | Marge:8.8% | Vol:22.5% | Omzet:2,547,139 | actief
RAA.DE           | opname:2026-05-03 | ROE:32.2% | Debt:3.3 | Marge:20.5% | Vol:30.1% | Omzet:7,945,354 | actief
REP.DE           | opname:2026-05-08 | ROE:13.3% | Debt:44.3 | Marge:6.4% | Vol:32.1% | Omzet:377,636 | actief
RHM.DE           | opname:2026-05-03 | ROE:25.7% | Debt:51.6 | Marge:6.3% | Vol:47.2% | Omzet:347,722,133 | actief
RIO1.DE          | opname:2026-08-22 | ROE:19.3% | Debt:31.9 | Marge:19.6% | Vol:27.0% | Omzet:4,694,960 | actief
RWE.DE           | opname:2026-05-08 | ROE:8.5% | Debt:50.4 | Marge:20.3% | Vol:25.9% | Omzet:87,180,426 | actief
SAP.DE           | opname:2026-05-03 | ROE:18.3% | Debt:22.0 | Marge:20.4% | Vol:40.7% | Omzet:412,556,928 | actief
SDF.DE           | opname:2026-08-16 | ROE:22.0% | Debt:18.5 | Marge:27.6% | Vol:34.6% | Omzet:14,666,822 | actief
SEJ1.DE          | opname:2026-08-22 | ROE:27.5% | Debt:33.7 | Marge:11.6% | Vol:34.7% | Omzet:159,438 | actief
