# MASTERLIJST 057 — NYSE
# Laatste update: 30/08/2026
# Nitro Criteria: ROE>4% | Debt<140 | Marge>3% | Vol 35%-95% | Omzet>€2,500,000
# Kolommen: ticker | opname | ROE | Debt | Marge | Vol | Omzet | status [| weken_buiten] [| verwijderd]
# --------------------------------------------------------------------------------
IOT              | opname:2026-08-16 | ROE:4.4% | Debt:4.6 | Marge:3.3% | Vol:61.0% | Omzet:219,583,288 | actief
ITGR             | opname:2026-08-16 | ROE:7.5% | Debt:79.4 | Marge:7.0% | Vol:47.1% | Omzet:72,983,865 | actief
KEYS             | opname:2026-08-16 | ROE:20.9% | Debt:41.8 | Marge:19.1% | Vol:43.9% | Omzet:368,561,816 | actief
KGC              | opname:2026-08-16 | ROE:37.0% | Debt:7.7 | Marge:37.5% | Vol:54.2% | Omzet:298,583,021 | actief
KGS              | opname:2026-08-16 | ROE:4.6% | Debt:130.3 | Marge:5.8% | Vol:39.7% | Omzet:86,317,297 | actief
KKR              | opname:2026-08-16 | ROE:7.3% | Debt:69.8 | Marge:12.2% | Vol:38.8% | Omzet:566,354,713 | actief
KN               | opname:2026-08-16 | ROE:9.5% | Debt:18.9 | Marge:10.6% | Vol:39.8% | Omzet:24,360,214 | actief
KNSL             | opname:2026-08-16 | ROE:30.3% | Debt:11.0 | Marge:28.5% | Vol:35.5% | Omzet:98,703,771 | actief
KNTK             | opname:2026-08-16 | ROE:19.2% | Debt:136.6 | Marge:29.2% | Vol:36.0% | Omzet:50,990,197 | actief
KWR              | opname:2026-08-16 | ROE:7.2% | Debt:66.9 | Marge:4.9% | Vol:38.6% | Omzet:21,536,584 | actief
LOAR             | opname:2026-08-16 | ROE:5.8% | Debt:80.4 | Marge:11.6% | Vol:42.3% | Omzet:57,514,191 | actief
LTH              | opname:2026-08-16 | ROE:13.4% | Debt:129.5 | Marge:13.0% | Vol:37.3% | Omzet:82,524,565 | actief
MATX             | opname:2026-08-16 | ROE:17.2% | Debt:25.8 | Marge:13.4% | Vol:36.0% | Omzet:46,161,220 | actief
MC               | opname:2026-08-16 | ROE:41.5% | Debt:41.0 | Marge:14.5% | Vol:37.9% | Omzet:62,188,290 | actief
MCS              | opname:2026-08-16 | ROE:5.0% | Debt:70.0 | Marge:3.0% | Vol:39.5% | Omzet:4,125,496 | actief
MD               | opname:2026-08-16 | ROE:20.4% | Debt:70.4 | Marge:9.0% | Vol:42.7% | Omzet:18,264,087 | actief
MG               | opname:2026-08-23 | ROE:11.8% | Debt:102.1 | Marge:3.6% | Vol:46.2% | Omzet:2,588,564 | actief
MHK              | opname:2026-08-16 | ROE:5.5% | Debt:27.6 | Marge:4.2% | Vol:39.6% | Omzet:105,001,596 | actief
MIAX             | opname:2026-08-16 | ROE:18.1% | Debt:2.0 | Marge:9.7% | Vol:41.2% | Omzet:52,705,279 | actief
MOV              | opname:2026-08-16 | ROE:8.4% | Debt:13.4 | Marge:6.0% | Vol:38.8% | Omzet:4,830,367 | actief
MTDR             | opname:2026-08-16 | ROE:13.6% | Debt:69.1 | Marge:18.8% | Vol:42.7% | Omzet:90,713,593 | actief
MTH              | opname:2026-08-16 | ROE:6.4% | Debt:37.7 | Marge:6.1% | Vol:38.1% | Omzet:63,403,143 | actief
MUR              | opname:2026-08-16 | ROE:6.5% | Debt:41.9 | Marge:9.8% | Vol:48.9% | Omzet:70,968,479 | actief
MUX              | opname:2026-08-22 | ROE:13.5% | Debt:18.2 | Marge:32.5% | Vol:68.7% | Omzet:26,177,017 | actief
MYE              | opname:2026-08-16 | ROE:17.1% | Debt:111.4 | Marge:4.3% | Vol:37.9% | Omzet:7,225,039 | actief
NOW              | opname:2026-08-16 | ROE:14.2% | Debt:67.5 | Marge:11.3% | Vol:56.1% | Omzet:2,122,732,282 | actief
NPK              | opname:2026-08-16 | ROE:10.9% | Debt:2.2 | Marge:7.9% | Vol:35.4% | Omzet:10,929,045 | actief
NPO              | opname:2026-08-16 | ROE:2.9% | Debt:37.1 | Marge:3.6% | Vol:38.5% | Omzet:59,098,531 | actief
ODC              | opname:2026-08-16 | ROE:20.9% | Debt:19.0 | Marge:11.4% | Vol:38.7% | Omzet:6,122,371 | actief
OGG              | opname:2026-08-22 | ROE:8.9% | Debt:48.8 | Marge:149.5% | Vol:62.3% | Omzet:7,509,701 | actief
OII              | opname:2026-08-16 | ROE:34.6% | Debt:70.3 | Marge:12.2% | Vol:45.4% | Omzet:34,993,009 | actief
ONTO             | opname:2026-08-16 | ROE:6.8% | Debt:76.5 | Marge:11.8% | Vol:70.7% | Omzet:238,043,301 | actief
OOMA             | opname:2026-08-16 | ROE:11.7% | Debt:57.3 | Marge:3.6% | Vol:45.0% | Omzet:4,154,276 | actief
OR               | opname:2026-08-22 | ROE:20.4% | Debt:14.8 | Marge:78.0% | Vol:47.5% | Omzet:44,189,993 | actief
OSCR             | opname:2026-08-16 | ROE:34.3% | Debt:23.5 | Marge:3.6% | Vol:71.2% | Omzet:187,812,150 | actief
OSK              | opname:2026-08-16 | ROE:12.4% | Debt:24.4 | Marge:5.2% | Vol:40.3% | Omzet:104,674,582 | actief
OXY              | opname:2026-08-16 | ROE:10.6% | Debt:34.5 | Marge:30.3% | Vol:35.6% | Omzet:598,946,664 | actief
P                | opname:2026-08-16 | ROE:17.7% | Debt:127.4 | Marge:5.9% | Vol:66.4% | Omzet:267,180,029 | actief
PAAS             | opname:2026-08-22 | ROE:22.4% | Debt:11.4 | Marge:32.0% | Vol:58.3% | Omzet:314,842,598 | actief
PARR             | opname:2026-08-16 | ROE:53.5% | Debt:56.2 | Marge:9.9% | Vol:59.4% | Omzet:61,970,202 | actief
PATH             | opname:2026-08-16 | ROE:18.2% | Debt:4.4 | Marge:19.6% | Vol:68.1% | Omzet:500,828,275 | actief
PBF              | opname:2026-08-16 | ROE:23.2% | Debt:38.4 | Marge:3.9% | Vol:66.0% | Omzet:128,942,618 | actief
PKE              | opname:2026-08-16 | ROE:10.8% | Debt:23.4 | Marge:16.7% | Vol:46.2% | Omzet:6,695,423 | actief
PLOW             | opname:2026-08-16 | ROE:18.3% | Debt:96.9 | Marge:7.5% | Vol:35.3% | Omzet:8,542,697 | actief
PRG              | opname:2026-08-16 | ROE:17.1% | Debt:110.1 | Marge:5.6% | Vol:46.4% | Omzet:17,448,460 | actief
PRLB             | opname:2026-08-16 | ROE:4.5% | Debt:32.4 | Marge:5.4% | Vol:47.5% | Omzet:12,128,727 | actief
PWR              | opname:2026-08-16 | ROE:15.3% | Debt:67.8 | Marge:4.0% | Vol:44.2% | Omzet:621,382,798 | actief
QTWO             | opname:2026-08-16 | ROE:15.0% | Debt:6.4 | Marge:10.9% | Vol:45.5% | Omzet:58,922,347 | actief
